date,text,sentiment,subjectivity,polarity
Mobile,is this product cool?,"Sentiment(polarity=0.35, subjectivity=0.65)",0.65,0.35
Mobile,this is lame,"Sentiment(polarity=-0.5, subjectivity=0.75)",0.75,-0.5
Mobile,get that money! ,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Mobile,other (comment) ,"Sentiment(polarity=-0.125, subjectivity=0.375)",0.375,-0.125
Web,is this product cool?,"Sentiment(polarity=0.35, subjectivity=0.65)",0.65,0.35
Web,this is lame,"Sentiment(polarity=-0.5, subjectivity=0.75)",0.75,-0.5
Web,get that money! ,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Web,other (comment) ,"Sentiment(polarity=-0.125, subjectivity=0.375)",0.375,-0.125
Gender,is this product cool?,"Sentiment(polarity=0.35, subjectivity=0.65)",0.65,0.35
Gender,this is lame,"Sentiment(polarity=-0.5, subjectivity=0.75)",0.75,-0.5
Gender,get that money! ,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Gender,other (comment) ,"Sentiment(polarity=-0.125, subjectivity=0.375)",0.375,-0.125
Gender,is this product cool?,"Sentiment(polarity=0.35, subjectivity=0.65)",0.65,0.35
Gender,this is lame,"Sentiment(polarity=-0.5, subjectivity=0.75)",0.75,-0.5
Gender,get that money! ,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
Gender,other (comment) ,"Sentiment(polarity=-0.125, subjectivity=0.375)",0.375,-0.125
University,is this product cool?,"Sentiment(polarity=0.35, subjectivity=0.65)",0.65,0.35
University,this is lame,"Sentiment(polarity=-0.5, subjectivity=0.75)",0.75,-0.5
University,get that money! ,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
University,other (comment) ,"Sentiment(polarity=-0.125, subjectivity=0.375)",0.375,-0.125
University,is this product cool?,"Sentiment(polarity=0.35, subjectivity=0.65)",0.65,0.35
University,this is lame,"Sentiment(polarity=-0.5, subjectivity=0.75)",0.75,-0.5
University,get that money! ,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
University,other (comment) ,"Sentiment(polarity=-0.125, subjectivity=0.375)",0.375,-0.125
University,is this product cool?,"Sentiment(polarity=0.35, subjectivity=0.65)",0.65,0.35
University,this is lame,"Sentiment(polarity=-0.5, subjectivity=0.75)",0.75,-0.5
University,get that money! ,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
University,other (comment) ,"Sentiment(polarity=-0.125, subjectivity=0.375)",0.375,-0.125
University,is this product cool?,"Sentiment(polarity=0.35, subjectivity=0.65)",0.65,0.35
University,this is lame,"Sentiment(polarity=-0.5, subjectivity=0.75)",0.75,-0.5
University,get that money! ,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
University,other (comment) ,"Sentiment(polarity=-0.125, subjectivity=0.375)",0.375,-0.125
